MAE Nivel 1 método final,MRE Nivel 1 Método final,MAE Nivel 1 método experimental,MRE Nivel 1 Método experimental,MAE Nivel 1 método integral,MRE Nivel 1 Método integral,MAE Nivel 1 método picos,MRE Nivel 1 Método picos,MAE Nivel 2 método final,MRE Nivel 2 Método final,MAE Nivel 2 método experimental,MRE Nivel 2 Método experimental,MAE Nivel 2 método integral,MRE Nivel 2 Método integral,MAE Nivel 2 método picos,MRE Nivel 2 Método picos,MAE Nivel 3 método final,MRE Nivel 3 Método final,MAE Nivel 3 método experimental,MRE Nivel 3 Método experimental,MAE Nivel 3 método integral,MRE Nivel 3 Método integral,MAE Nivel 3 método picos,MRE Nivel 3 Método picos,MAE Nivel 4 método final,MRE Nivel 4 Método final,MAE Nivel 4 método experimental,MRE Nivel 4 Método experimental,MAE Nivel 4 método integral,MRE Nivel 4 Método integral,MAE Nivel 4 método picos,MRE Nivel 4 Método picos,MAE total método final,MRE total Método final,MAE total método experimental,MRE total Método experimental,MAE total método integral,MRE total Método integral,MAE total método picos,MRE total Método picos
0.11,7.89,0.11,7.89,0.11,7.89,0.95,78.95,1.17,23.41,0.96,17.55,0.96,17.55,1.56,28.84,4.54,25.32,4.58,25.6,2.12,11.96,4.58,25.6,3.25,11.82,3.25,11.82,1.25,4.59,3.25,11.82,2.05,19.35,1.96,16.79,1.11,12.65,2.38,34.47
0.21,10.61,0.18,9.6,0.18,9.6,0.82,59.09,1.32,25.17,1.05,17.73,1.0,17.23,1.82,33.54,3.54,18.76,3.49,18.19,2.14,11.9,3.49,18.19,3.12,10.94,3.12,10.94,2.76,9.23,3.12,10.94,1.99,16.32,1.91,14.29,1.4,11.86,2.26,32.81
0.4,24.0,0.32,20.67,0.32,20.67,1.2,98.67,1.22,23.89,1.26,21.85,0.81,16.5,2.04,36.17,5.23,26.22,5.31,27.01,1.69,9.27,5.31,27.01,2.93,10.51,2.93,10.51,2.79,9.51,2.93,10.51,2.47,20.85,2.48,19.75,1.45,13.82,2.88,41.59
0.24,11.11,0.19,9.52,0.19,9.52,1.05,74.6,1.03,21.26,0.9,17.15,0.8,16.04,1.63,33.58,2.78,17.42,2.78,17.92,1.59,10.04,2.78,17.92,2.58,9.46,2.58,9.46,1.88,6.35,2.58,9.46,1.75,15.47,1.7,14.16,1.16,10.79,2.07,31.54
0.15,7.41,0.15,7.41,0.15,7.41,0.63,35.8,1.04,20.61,1.04,19.42,1.0,18.99,1.38,25.94,4.0,21.09,4.17,22.38,2.41,13.98,4.07,21.44,3.56,12.49,3.56,12.49,3.04,9.77,3.56,12.49,2.21,15.51,2.25,15.57,1.64,12.56,2.43,24.07
0.11,8.33,0.11,8.33,0.11,8.33,1.18,73.21,1.32,22.04,1.19,16.86,0.9,13.37,2.32,36.11,4.19,23.28,4.19,23.35,2.19,12.57,4.19,23.35,2.43,8.97,2.43,8.97,2.62,8.58,2.43,8.97,1.94,16.2,1.91,14.72,1.36,10.91,2.51,37.27
0.19,15.62,0.19,15.62,0.19,15.62,1.0,92.71,1.25,25.9,0.75,13.87,0.75,13.87,1.36,26.07,4.03,21.83,3.94,21.3,1.52,8.16,3.94,21.3,2.27,7.85,2.27,7.85,4.68,14.92,2.27,7.85,2.16,19.4,1.96,15.19,1.71,12.59,2.29,30.82
0.28,11.46,0.22,9.38,0.22,9.38,0.66,41.67,1.1,20.99,0.87,15.63,0.63,12.72,1.57,29.64,4.85,26.29,4.96,27.06,1.62,8.71,4.96,27.06,2.21,7.61,2.21,7.61,2.37,7.9,2.21,7.61,1.96,17.05,1.91,15.11,1.06,9.89,2.23,28.7
0.06,2.02,0.06,2.02,0.06,2.02,0.39,37.37,1.12,20.12,1.08,17.3,1.08,17.3,1.83,30.33,3.75,19.89,3.71,19.76,1.67,9.69,3.62,18.93,2.85,9.81,2.85,9.81,2.54,8.22,2.85,9.81,1.8,11.98,1.79,11.32,1.25,8.67,2.04,24.96
0.19,9.52,0.19,9.52,0.19,9.52,0.86,61.11,1.03,20.71,0.83,14.77,0.77,14.03,1.67,33.91,3.85,22.3,4.0,23.72,1.74,10.92,4.0,23.72,3.05,10.61,3.05,10.61,3.45,11.07,3.05,10.61,2.18,16.94,2.17,15.73,1.51,11.55,2.53,31.22
0.31,10.42,0.19,6.25,0.19,6.25,0.56,39.58,0.88,16.45,1.1,17.12,0.97,15.73,1.35,22.84,2.77,16.39,2.73,16.33,2.1,14.57,2.67,15.69,4.43,15.71,4.43,15.71,3.48,11.03,4.43,15.71,2.02,15.39,2.07,15.0,1.66,13.06,2.21,21.94
0.14,10.61,0.18,12.12,0.18,12.12,1.05,71.97,1.33,26.84,1.23,21.83,1.17,21.0,1.73,33.92,3.12,18.41,3.48,21.85,2.42,15.45,3.24,19.42,2.68,9.89,2.68,9.89,2.18,7.95,2.68,9.89,1.92,17.42,2.01,17.38,1.56,14.78,2.25,32.33
0.47,20.18,0.37,16.67,0.37,16.67,0.95,65.79,1.13,21.93,1.13,18.93,1.06,18.21,1.61,29.37,3.36,18.94,3.47,20.01,1.78,11.2,3.47,20.01,3.38,12.31,3.38,12.31,2.43,8.46,3.38,12.31,2.21,18.72,2.22,17.59,1.45,13.66,2.47,29.34
0.39,18.12,0.35,16.67,0.35,16.67,0.83,57.25,1.31,23.29,0.86,14.46,0.86,14.46,1.62,28.99,3.66,18.5,3.97,21.49,1.86,12.28,3.74,19.2,3.25,11.76,3.25,11.76,2.65,9.07,3.25,11.76,2.24,18.45,2.21,16.73,1.41,13.21,2.45,28.64
0.16,8.67,0.16,8.67,0.16,8.67,0.92,75.33,1.3,23.15,1.37,23.23,1.11,19.86,1.96,36.02,3.85,20.43,3.85,20.43,1.76,9.53,3.85,20.43,2.55,8.8,2.55,8.8,4.18,13.37,2.55,8.8,2.07,15.98,2.09,16.0,1.72,12.72,2.42,34.8
0.15,6.17,0.15,6.17,0.15,6.17,0.74,57.41,1.46,29.89,0.78,14.3,0.76,13.96,1.27,25.25,2.52,13.91,2.52,14.17,1.84,11.1,2.52,14.17,2.61,9.32,2.61,9.32,3.0,9.78,2.61,9.32,1.57,16.71,1.34,11.38,1.23,10.62,1.65,28.09
0.22,14.81,0.22,14.81,0.22,14.81,1.48,91.98,0.97,19.03,1.0,16.38,0.94,15.74,1.43,26.39,4.3,24.83,4.37,25.75,1.33,8.69,4.48,26.83,3.39,11.55,3.39,11.55,4.56,14.24,3.39,11.55,2.03,18.17,2.06,17.54,1.47,13.48,2.54,40.55
0.31,15.52,0.31,15.52,0.31,15.52,0.62,35.06,1.25,22.89,1.15,18.4,0.75,13.96,1.8,31.73,2.71,15.0,2.54,13.4,1.64,9.48,2.54,13.4,2.77,9.82,2.77,9.82,3.13,9.96,2.77,9.82,1.8,15.16,1.74,13.91,1.53,12.09,1.94,21.69
0.24,7.94,0.19,6.35,0.19,6.35,0.62,34.92,1.03,19.57,0.94,16.41,0.94,16.41,1.61,30.17,3.68,20.66,3.79,21.72,2.0,11.15,3.79,21.72,2.1,7.6,2.1,7.6,2.62,8.79,2.1,7.6,1.93,15.28,1.93,14.39,1.46,11.27,2.21,23.99
0.33,13.89,0.3,12.78,0.3,12.78,0.6,44.44,1.39,24.82,1.23,20.44,0.97,17.16,2.06,38.05,4.22,23.02,4.33,23.85,1.74,9.74,4.33,23.85,1.89,6.67,1.89,6.67,2.42,8.01,1.89,6.67,1.9,18.08,1.87,16.71,1.23,12.43,2.2,30.69
